endToEndPLR,generatorToSatPLR,satToGroundPLR,endToEndLatency,generatorToSatLatency,satToGSLatency,generationRate,satelliteAggregationRate,gsAggregationRate,observation,n_iot
0.6,0.0,0.6,140.5,64.0,83.5,0.029940119760479,0.029940119760479,0.0119760479041916,1,100
0.4285714285714285,0.2857142857142857,0.2,214.75,58.0,160.75,0.0141414141414141,0.0101010101010101,0.008080808080808,2,100
0.75,0.3333333333333333,0.625,260.0,86.375,149.333333,0.0237623762376237,0.0158415841584158,0.0059405940594059,3,100
0.8571428571428571,0.0,0.8571428571428571,202.0,82.285714,94.0,0.0143737166324435,0.0143737166324435,0.002053388090349,4,100
0.7142857142857143,0.1428571428571428,0.6666666666666666,151.5,77.0,86.0,0.0167464114832535,0.0143540669856459,0.0047846889952153,5,100
0.5714285714285714,0.0,0.5714285714285714,195.666666,67.857142,140.666666,0.0211480362537764,0.0211480362537764,0.0090634441087613,1,200
0.75,0.125,0.7142857142857143,241.0,56.571428,200.5,0.0206185567010309,0.018041237113402,0.0051546391752577,2,200
0.6875,0.1875,0.6153846153846154,257.8,64.76923,190.2,0.0288288288288288,0.0234234234234234,0.009009009009009,3,200
0.8,0.2,0.75,194.0,82.083333,134.333333,0.0314465408805031,0.0251572327044025,0.0062893081761006,4,200
0.6923076923076923,0.1538461538461538,0.6363636363636364,287.75,57.545454,225.5,0.0262096774193548,0.0221774193548387,0.0080645161290322,5,200
0.84,0.2,0.8,238.75,75.85,159.75,0.0496031746031746,0.0396825396825396,0.0079365079365079,1,300
0.7368421052631579,0.1052631578947368,0.7058823529411765,322.0,74.411764,234.8,0.0319327731092436,0.0285714285714285,0.0084033613445378,2,300
0.8947368421052632,0.2105263157894736,0.8666666666666667,298.5,86.8,194.0,0.0346715328467153,0.0273722627737226,0.0036496350364963,3,300
0.85,0.25,0.8,206.0,75.266666,131.333333,0.0353356890459364,0.0265017667844522,0.0053003533568904,4,300
0.7142857142857143,0.1428571428571428,0.6666666666666666,303.666666,80.111111,226.166666,0.0360205831903945,0.0308747855917667,0.0102915951972555,5,300
0.7777777777777778,0.2777777777777778,0.6923076923076923,193.0,93.692307,117.5,0.03515625,0.025390625,0.0078125,1,400
0.84,0.24,0.7894736842105263,219.0,98.105263,69.0,0.0430292598967297,0.0327022375215146,0.0068846815834767,2,400
0.8,0.2666666666666666,0.7272727272727273,232.833333,73.954545,164.166666,0.0520833333333333,0.0381944444444444,0.0104166666666666,3,400
0.6666666666666666,0.1851851851851851,0.5909090909090909,253.333333,70.90909,187.111111,0.0612244897959183,0.0498866213151927,0.0204081632653061,4,400
0.8787878787878788,0.2424242424242424,0.84,190.25,66.0,127.25,0.0627376425855513,0.0475285171102661,0.0076045627376425,5,400
0.6571428571428571,0.1142857142857142,0.6129032258064516,295.5,77.064516,214.583333,0.0616197183098591,0.0545774647887323,0.0211267605633802,1,500
0.8888888888888888,0.1388888888888889,0.8709677419354839,175.25,85.451612,100.0,0.0669144981412639,0.0576208178438661,0.0074349442379182,2,500
0.7857142857142857,0.1428571428571428,0.75,277.111111,81.277777,195.0,0.0714285714285714,0.0612244897959183,0.0153061224489795,3,500
0.7096774193548387,0.2258064516129032,0.625,232.333333,71.5,155.777777,0.056159420289855,0.0434782608695652,0.0163043478260869,4,500
0.9302325581395348,0.2325581395348837,0.9090909090909092,301.0,78.848484,229.333333,0.0730050933786078,0.0560271646859083,0.0050933786078098,5,500
0.7741935483870968,0.1612903225806451,0.7307692307692307,216.714285,82.576923,161.571428,0.0548672566371681,0.0460176991150442,0.0123893805309734,1,600
0.7777777777777778,0.2222222222222222,0.7142857142857143,327.2,84.342857,253.5,0.0778546712802768,0.060553633217993,0.0173010380622837,2,600
0.8461538461538461,0.358974358974359,0.76,286.833333,94.04,206.666666,0.0690265486725663,0.0442477876106194,0.0106194690265486,3,600
0.8157894736842105,0.1578947368421052,0.78125,273.0,84.5,187.0,0.0665499124343257,0.0560420315236427,0.0122591943957968,4,600
0.7272727272727273,0.1818181818181818,0.6666666666666666,235.111111,77.555555,149.444444,0.0614525139664804,0.0502793296089385,0.0167597765363128,5,600
0.8070175438596491,0.175438596491228,0.7659574468085106,318.272727,92.404255,254.454545,0.0991304347826086,0.0817391304347826,0.0191304347826086,1,700
0.8,0.2909090909090909,0.717948717948718,353.363636,81.820512,255.272727,0.0932203389830508,0.0661016949152542,0.0186440677966101,2,700
0.7547169811320755,0.2075471698113207,0.6904761904761905,292.923076,90.666666,215.615384,0.0901360544217687,0.0714285714285714,0.0221088435374149,3,700
0.8518518518518519,0.2962962962962963,0.7894736842105263,265.625,72.342105,194.0,0.0915254237288135,0.0644067796610169,0.0135593220338983,4,700
0.8709677419354839,0.2096774193548387,0.8367346938775511,362.75,121.836734,299.5,0.1040268456375839,0.0822147651006711,0.0134228187919463,5,700
0.8360655737704918,0.1475409836065573,0.8076923076923077,305.2,77.153846,227.0,0.1107078039927404,0.0943738656987295,0.0181488203266787,1,800
0.8260869565217391,0.217391304347826,0.7777777777777778,245.75,75.555555,187.25,0.0784982935153583,0.0614334470989761,0.0136518771331058,2,800
0.7843137254901961,0.2156862745098039,0.725,319.363636,105.4,241.181818,0.0888501742160278,0.0696864111498257,0.019163763066202,3,800
0.8409090909090909,0.1590909090909091,0.8108108108108109,217.571428,87.405405,121.428571,0.0762564991334488,0.0641247833622183,0.0121317157712305,4,800
0.8571428571428571,0.2222222222222222,0.8163265306122449,265.222222,97.32653,189.444444,0.109375,0.0850694444444444,0.015625,5,800
0.7878787878787878,0.1969696969696969,0.7358490566037735,306.428571,89.622641,235.5,0.1141868512110726,0.0916955017301038,0.0242214532871972,1,900
0.7551020408163265,0.2040816326530612,0.6923076923076923,347.916666,81.410256,286.333333,0.0871886120996441,0.0693950177935943,0.0213523131672597,2,900
0.8484848484848485,0.2575757575757575,0.7959183673469388,272.9,90.387755,170.1,0.1124361158432708,0.0834752981260647,0.0170357751277683,3,900
0.8333333333333334,0.1041666666666666,0.813953488372093,265.875,66.813953,206.0,0.0857142857142857,0.0767857142857142,0.0142857142857142,4,900
0.821917808219178,0.1917808219178082,0.7796610169491526,302.76923,85.711864,208.0,0.1252144082332761,0.1012006861063464,0.0222984562607204,5,900
0.9154929577464788,0.2957746478873239,0.88,234.333333,79.52,163.666666,0.1211604095563139,0.0853242320819112,0.0102389078498293,1,1000
0.7837837837837838,0.1756756756756756,0.7377049180327869,322.6875,97.934426,250.0625,0.125,0.1030405405405405,0.027027027027027,2,1000
0.8360655737704918,0.2459016393442623,0.782608695652174,301.8,76.652173,246.5,0.1033898305084745,0.0779661016949152,0.0169491525423728,3,1000
0.7878787878787878,0.1818181818181818,0.7407407407407407,296.571428,89.611111,215.285714,0.1126279863481228,0.0921501706484641,0.0238907849829351,4,1000
0.8548387096774194,0.2096774193548387,0.8163265306122449,294.0,103.081632,217.666666,0.1089630931458699,0.086115992970123,0.015817223198594,5,1000
